frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,T3-C3,C3-CZ,CZ-C4,C4-T4,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,A1-T3,T4-A2
0.0,-6.373027613303909,-7.783038728251386,-9.71630260431246,-5.710166109159702,-8.910446903491826,-11.615480858218463,-9.024022833666766,-6.452946737214476,-8.385873300800744,-7.894598658746139,-6.111152666269556,-9.237830404707621,-7.860288731664682,-6.582775323149324,-7.209782833358805,-6.629108204451524,-7.675503491036691,-5.940037581672867,-7.892042752141697,-4.782594934668041,-6.391714643956642,-10.212368428813697
0.12218963831867058,-5.965554935928555,-5.760382108484119,-9.587553976983882,-6.678863452577668,-6.0827204489292095,-7.381141747968171,-8.482714736243295,-5.938811617179334,-9.93599177321121,-8.558677668415442,-7.629736113276328,-10.15131454625542,-7.042869497545696,-7.693645940994716,-10.15200654767917,-7.04363150786767,-6.004643102318999,-7.191500264420604,-7.918383019349069,-7.704616694767148,-7.083837074269009,-8.636939003868074
0.24437927663734116,-7.179680517023366,-7.077784908665609,-10.732627603966586,-8.271001148495502,-6.761329734772924,-7.497769323193435,-9.064662121799008,-7.691510419609053,-10.658376210986823,-9.980023712081316,-8.548019422139731,-10.305786361309183,-7.985522463020113,-8.932044131343101,-11.16439780539775,-8.820362246271753,-6.865236288824783,-8.27490110614936,-8.994445017319551,-8.532236116301682,-8.467244129322829,-9.176292688209402
0.36656891495601174,-8.424663781995019,-8.657546325297501,-10.083045647278992,-10.030102941981871,-7.881586910234223,-7.930237083218148,-9.20449458132089,-9.278114870171477,-9.93453931315978,-11.223837282658941,-9.346260392689517,-10.07638441413496,-8.496623665053834,-10.233607750427614,-12.148884339756064,-10.408373185539183,-8.45387730457902,-8.987259120870332,-9.333359821135549,-10.225866631488604,-9.639140028842316,-8.692943703615992
0.4887585532746823,-9.289837909944122,-9.717906909535131,-9.692968380010136,-11.908516785763736,-8.672660174624712,-8.100034214265332,-8.786728446904927,-11.861951931646788,-9.876521247887414,-10.843680219357871,-9.621590115228198,-9.472135548040288,-9.593937781724211,-11.743358862565803,-11.237436874262826,-11.128378979539006,-9.71288069348142,-10.048394875178827,-9.387362798824753,-11.311096715404895,-9.86953819080795,-8.557074641303526
0.6109481915933529,-10.733715683719803,-10.220037429743845,-8.888369519299964,-12.177148249003809,-9.259435477511925,-7.235902679756019,-8.544134397264907,-12.19247781082163,-8.117200554372396,-10.703672733668022,-9.29538335392292,-8.50617224348765,-11.09034769881026,-12.07961592284153,-10.698081692706713,-12.177207878734032,-10.062304375511541,-9.94200253979092,-8.83553638631936,-11.6604470768805,-8.945566527060171,-9.17843594912402
0.7331378299120235,-11.950774932630654,-11.013684234269677,-9.969434497374444,-14.64077831058382,-10.201740815552357,-7.973583408272331,-9.31670322667596,-13.210968177961917,-8.856316116135662,-10.756654044412988,-10.511435052463918,-9.668807672548464,-11.331153245109755,-13.686854595560643,-11.109180531383519,-12.866829361620272,-11.042836993733534,-10.334642887377157,-9.88139247868652,-12.598769357233255,-10.316388225739981,-10.144575160732323
0.855327468230694,-11.836678183363134,-13.099657328732901,-11.330142255263214,-15.305325865816911,-11.22512031711649,-8.828305516197895,-10.187100721130145,-14.430894321921574,-10.059294096006795,-11.638573192071616,-11.292202810287389,-10.758121136281241,-11.997806635710402,-14.817756196813226,-12.476480936181249,-13.844655693055673,-11.735437204114664,-11.211573858473422,-11.124286465644484,-13.623836052865107,-11.766576778938134,-11.427385927544531
0.9775171065493646,-13.727762180212821,-14.34376598006867,-13.32469777990924,-16.55465570817642,-12.660898054798745,-11.401388859600985,-11.93730303851717,-15.461417093180176,-12.075846539737768,-13.145676037860472,-12.900039016115265,-12.093506025812463,-13.23722921493931,-15.810673319215635,-14.158601927876866,-14.943328331355552,-13.041209482205703,-13.232651719568002,-12.796657575507819,-15.77848530473387,-13.723862907234782,-13.10326397771637
1.099706744868035,-13.748864499031653,-14.477630835964765,-13.95724213666748,-16.700763564700758,-13.045422105438186,-12.468301090059253,-12.34206589739357,-16.164252889476746,-13.118227033174605,-14.194797383217455,-13.841588054222704,-13.330632065586316,-14.036511854174615,-15.706111420933976,-14.716127027438834,-15.973775177192211,-13.79024801236158,-14.117898529805975,-13.45547658610674,-15.69328293815612,-14.310694532724725,-13.253796935262388
