frequency_hz,FP1-F7,FP2-F8,FP1-F3,F3-C3,FP2-F4,F4-C4,F7-T3,T3-T5,T5-O1,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,C3-P3,P3-O1,C4-P4,P4-O2
0.0,-1.6321321791771197,-19.19389193421718,-2.2915291292224325,-3.0435482766519115,-2.0189158649976022,-8.642357427203486,-11.058495239265525,-1.0149511761576946,0.0,-3.9885123426575575,0.0,-9.573508577705773,-15.904683720054429,-21.245425603307364,0.0,0.0,-7.977529367450003,-17.911948097732406,-15.6934032329698,0.0,0.0,0.0
0.12218963831867058,-5.225669032018464,-1.0222058770295572,-5.603912493914091,-7.491994331061338,-0.5662359381712103,-2.7527430407632174,-9.459122216121163,-4.583768741358051,-18.30573989821273,-4.763226870388623,-6.721154602198693,-3.9246311161610454,-1.0046866636518346,-16.47847140546581,-9.421012613056751,-1.944546571798735,-16.21543841200125,-3.651485375471374,-7.82827006883578,-23.402212014902773,-1.70903217652278,-6.531629246185324
0.24437927663734116,-3.8990501380483624,-0.6349848863734486,-4.276588880557384,-6.020835285160329,-0.619116293566573,-0.9221111368429493,-4.668821398204938,-7.994829186792304,-18.87516456891757,-0.4793161520168875,-6.737469367321004,-1.1133560504598001,-1.9319146414156347,-13.90936212228339,-9.185394363735986,-1.4738219099122543,-12.989023278934342,-3.7797802575783153,-10.684299564943947,-16.09821274491064,-3.2201719599556995,-3.7073608392074195
0.36656891495601174,-4.971142389649111,-1.9103074461350056,-6.160438344064969,-5.974199855951775,-2.0399802857212164,-1.8889580955601828,-3.7738790289861353,-9.050921753361903,-29.196368653970037,-2.5576585430610423,-12.85925264308146,-1.595410412827921,-4.714392161230145,-14.378681611378456,-10.17961056829801,-8.83827351754359,-7.014218716735923,-6.129490359198201,-13.13291879665773,-15.957764021445454,-8.084420580536971,-7.4718706799306185
0.4887585532746823,-10.73519518731084,-4.9804418475648315,-8.948932405223097,-10.236245946571477,-6.874926945211286,-3.22194595150911,-2.6510499294487935,-9.224375414190925,-17.670007986168716,-9.465286958373403,-11.623142334612464,-6.394715621923165,-1.5872953933006935,-15.13028855107724,-25.930114817786052,-2.3574083081747546,-14.027996887200493,-9.678489156328089,-12.687683434669573,-11.271256692570532,-5.45443903899448,-6.930807397598064
0.6109481915933529,-10.504253167792896,-5.524953206855317,-11.25335252050227,-8.057975919377078,-5.2490425052177825,-13.913545933363237,-1.9889166215628449,-7.992715049557657,-23.946392039526444,-10.745617301645252,-14.10030934414377,-7.706193810889468,-2.3477136707776394,-13.786293420336165,-22.445206805482634,-8.774035208789893,-1.2146339330799292,-11.548630472917406,-11.844825875816843,-10.29092415043499,-11.4364700124388,-13.67771529154853
0.7331378299120235,-12.365689761758581,-11.354460276368936,-16.612526130371826,-11.85526089599053,-11.537938187550179,-7.5424597129280375,-6.032529031819925,-7.1043132468804036,-25.89238876779517,-7.94090433657894,-10.219265054718987,-8.344217148995423,-4.843666115707533,-9.07027392813872,-16.88054570652997,-9.977031833623714,-6.010196378850175,-5.830059151040455,-8.588939446639879,-14.191711611944799,-9.379209700823628,-14.485688150976527
0.855327468230694,-16.455406372737933,-8.094025425093172,-20.547883102852833,-12.591686665207597,-10.559815446750788,-12.53483805871356,-2.711485664553889,-5.082964943581574,-22.99730651093988,-10.72285635731737,-22.364208354824527,-5.601785281601244,-5.270994971616074,-6.762367586855705,-10.425704310534027,-4.787934672884781,-6.920278042676548,-12.052251413187477,-1.9017613626160372,-13.951514662247916,-12.4855469096892,-11.73354534759411
0.9775171065493646,-17.75450453741812,-18.93657765828226,-30.784676829288077,-17.861736989270206,-18.410916412615148,-16.494774914152657,-8.186327756955398,-2.4716381934368377,-24.5743218912649,-9.452568751696536,-21.349373093319063,-9.895852753572129,-7.133920002166051,-4.901520670357179,-15.05866011374363,-24.84027924044505,-17.544721425495055,-11.964043052342573,-8.404460460392151,-19.583002464790905,-19.567102447604718,-12.571248026131117
1.099706744868035,-23.766655847842287,-16.23849122995228,-31.418085834109867,-19.619120041416203,-21.43055271185866,-21.945328499174508,-10.217957225180939,-4.288542730423114,-27.176072808611686,-10.633487051965337,-16.584908025554473,-6.9076982702617915,-6.989698779478108,-7.4427817171562225,-10.586679605049714,-4.396470235420452,-7.020560553912275,-19.011034361937227,-3.4994167265805216,-16.89212376663008,-12.210714066867533,-13.446429868231375
